title,url,meta
Enterprise Security Engineer,https://www.hudsonrivertrading.com/hrt-job/enterprise-security-engineer/,New York | London | Information Security | • | Experienced | New York | London | Information Security | • | Experienced
GPU Systems Engineer,https://www.hudsonrivertrading.com/hrt-job/gpu-systems-engineer-2/,New York | London | Seattle | Systems and Networking | • | Experienced | New York | London | Seattle | Systems and Networking | • | Experienced
Middle Office Analyst,https://www.hudsonrivertrading.com/hrt-job/middle-office-analyst/,New York | Trade Operations | • | Experienced | New York | Trade Operations | • | Experienced
Hardware Design Engineer - 2026 Grads,https://www.hudsonrivertrading.com/hrt-job/hardware-design-engineer-2026-grads-2/,New York | Chicago | Hardware Engineering | • | New Grad | New York | Chicago | Hardware Engineering | • | New Grad
AI Researcher,https://www.hudsonrivertrading.com/hrt-job/ai-researcher-3/,New York | London | Seattle | Strategy Development | • | Experienced | New York | London | Seattle | Strategy Development | • | Experienced
Risk Manager - Commodities,https://www.hudsonrivertrading.com/hrt-job/risk-manager-commodities/,New York | Risk | • | Experienced | New York | Risk | • | Experienced
IT Operations Engineer,https://www.hudsonrivertrading.com/hrt-job/it-operations-engineer/,New York | Systems and Networking | • | Experienced | New York | Systems and Networking | • | Experienced
Software Engineer - Distributed Compute,https://www.hudsonrivertrading.com/hrt-job/experienced-c-developer-distributed-compute/,New York | London | Seattle | Software Engineering | | | C++ | • | Experienced | New York | London | Seattle | Software Engineering | | | C++ | • | Experienced
Software Engineer - Distributed Systems (Storage/Databases),https://www.hudsonrivertrading.com/hrt-job/experienced-c-developer-distributed-systems-storage-databases/,New York | Seattle | Software Engineering | | | C++ | • | Experienced | New York | Seattle | Software Engineering | | | C++ | • | Experienced
Experienced Hardware Design Engineer,https://www.hudsonrivertrading.com/hrt-job/experienced-hardware-design-engineer-4/,New York | Austin | Boulder | Chicago | Hardware Engineering | • | Experienced | New York | Austin | Boulder | Chicago | Hardware Engineering | • | Experienced
Risk Manager - Options,https://www.hudsonrivertrading.com/hrt-job/risk-manager-options/,New York | Risk | • | Experienced | New York | Risk | • | Experienced
Recruiting Coordinator,https://www.hudsonrivertrading.com/hrt-job/recruiting-coordinator-2/,New York | People Operations | • | Experienced | New York | People Operations | • | Experienced
Software Engineer - Low Level (C++),https://www.hudsonrivertrading.com/hrt-job/experienced-low-level-software-engineer-c/,Hong Kong | Software Engineering | | | C++ | • | Experienced | Hong Kong | Software Engineering | | | C++ | • | Experienced
Data Production Engineer,https://www.hudsonrivertrading.com/hrt-job/data-production-engineer/,Singapore | Software Engineering | | | Python | • | Experienced | Singapore | Software Engineering | | | Python | • | Experienced
Market Structure Optimization Engineer,https://www.hudsonrivertrading.com/hrt-job/market-structure-optimization-engineer-6/,New York | Singapore | London | Austin | Chicago | Hong Kong | Software Engineering | | | Python | • | Experienced | New York | Singapore | London | Austin | Chicago | Hong Kong | Software Engineering | | | Python | • | Experienced
Senior Network Engineer - Low Latency Trading,https://www.hudsonrivertrading.com/hrt-job/senior-network-engineer-low-latency-trading-2/,New York | Singapore | London | Chicago | Seattle | Systems and Networking | • | Experienced | New York | Singapore | London | Chicago | Seattle | Systems and Networking | • | Experienced
Software Engineer - Low Level (C++),https://www.hudsonrivertrading.com/hrt-job/experienced-low-level-software-engineer-c-2/,Singapore | Software Engineering | | | C++ | • | Experienced | Singapore | Software Engineering | | | C++ | • | Experienced
Quantitative Researcher (Mid-Freq),https://www.hudsonrivertrading.com/hrt-job/quantitative-researcher-mid-freq/,New York | Strategy Development | • | Experienced | New York | Strategy Development | • | Experienced
Algo Developer,https://www.hudsonrivertrading.com/hrt-job/algo-developer/,New York | Singapore | Strategy Development | • | Experienced | New York | Singapore | Strategy Development | • | Experienced
Junior Crypto Electronic Trading Support Engineer,https://www.hudsonrivertrading.com/hrt-job/junior-crypto-electronic-trading-support-engineer/,London | Trade Operations | • | Experienced | London | Trade Operations | • | Experienced
Junior Electronic Trading Support Engineer,https://www.hudsonrivertrading.com/hrt-job/junior-electronic-trading-support-engineer/,New York | Austin | Trade Operations | • | Experienced | New York | Austin | Trade Operations | • | Experienced
Electronic Trading Support Engineer,https://www.hudsonrivertrading.com/hrt-job/electronic-trading-support-engineer-2/,New York | Austin | Chicago | Dublin | Trade Operations | • | Experienced | New York | Austin | Chicago | Dublin | Trade Operations | • | Experienced
Design Verification (DV) Engineer,https://www.hudsonrivertrading.com/hrt-job/design-verification-dv-engineer-4/,New York | London | Austin | Chicago | Hardware Engineering | • | Experienced | New York | London | Austin | Chicago | Hardware Engineering | • | Experienced
Software Engineer - Python,https://www.hudsonrivertrading.com/hrt-job/senior-python-engineer-2/,Singapore | Software Engineering | | | Python | • | Experienced | Singapore | Software Engineering | | | Python | • | Experienced
